先礼后兵	兵不厌诈||突然袭击
引而不发	盘马弯弓
相形失色	旗鼓相当
不得要领	提纲挈领
放荡不羁	规行矩步||循规蹈矩
一视同仁	量才录用||因材施教||厚此薄彼
削发	蓄发
简易	繁难
金枝玉叶	赳赳武夫||蓬门荆布
火冒三丈	心平气和
乱	治||齐
铲除	扶植
解囊相助	一毛不拔
科班出身	半路出家
扬	抑||避
滾烫	冰凉
流浪	定居
嫌弃	亲近
红	绿
别扭	流畅||顺当
业精于勤	玩物丧志
失魂落魄	泰然自若||镇定自若
常客	稀客
削足适履	因地制宜
百无一失	漏洞百出
平年	闰年
意气用事	平心静气||三思而行
顿口拙腮	伶牙俐齿
早茶	夜宵
德薄才疏	德才兼备
全部	部分
稍纵即逝	天长地久||遥遥无期||旷日持久||天长日久
吐	吞
充裕	拮据||短促||紧迫
匹夫有责	敷衍塞责
如日方升	日暮途穷||江河日下
马不停蹄	岁月蹉跎||虚度光阴||停滞不前
盲人摸象	洞察一切||仰视观察
千篇一律	别有风味||千变万化||千奇百怪||物极必反||别具一格||别树一帜||天渊之别
左	右
动荡不安	天下太平||相安无事
力争上游	甘居人后||甘居下游
冰冷	火热
风平浪静	刀山火海||风吹浪打||惊涛骇浪||天摇地动||兴妖作怪||轩然大波||此伏彼起||风吹雨打||甚嚣尘上||汹涌澎湃||烟波浩渺
俯首听命	桀骜不驯||不卑不亢
头头是道	语无伦次
外貌	内心
明哲保身	惹火烧身||同流合污
行若无事	手忙脚乱
争先恐后	姗姗来迟
少见多怪	多见少怪||习以为常||见多识广
生不逢辰	吉人天相||应运而生
心中有愧	问心无愧||心安理得
弛缓	紧张
假手于人	公而忘私
前方	后方
始终如一	朝秦暮楚||翻云覆雨||循环往复
不仁不义	不念旧恶
置身事外	责无旁贷||置身其中
茫然不解	心领神会
人心向背	众望所归
天昏地暗	风和日丽||天朗气清
奴颜婢膝	大义凛然||坚贞不屈||威武不屈||神气活现
千言万语	只言片语
如坐云雾	恍然大悟
无影无踪	蛛丝马迹
丁是丁，卯是卯	藕断丝连
用非所学	学以致用
倒叙	顺叙
横七竖八	有条不紊
迂腐	开通
厌	喜
扎手	顺手
持之以恒	半途而废||一暴十寒||有始无终||浅尝辄止
塞翁失马	因福得祸
阮囊羞涩	腰缠万贯||堆金积玉
小试锋芒	大显身手
识途老马	初出茅庐
高峰	深谷
为民除害	草菅人命||助纣为虐
鸡毛蒜皮	硕大无朋||荦荦大端
通力合作	不近情理||名行其事
盟国	敌国
强烈	柔和||微弱
大义凛然	卑躬屈膝||奴颜婢膝
大而无当	娇小玲珑
乐天知命	战天斗地
怠惰	勤劳
暑	寒
花容月貌	其貌不扬
得胜	失败
兔死狗烹	感恩戴德
知难而退	逆水行舟||无所作为||锲而不舍||知难而进
断齑画粥	挥霍无度||挥金如土
青眼	白眼
通达权变	守株待兔||胶柱鼓瑟
酷爱	持而
名山大川	穷山恶水
老牛破车	快马加鞭||一气呵成
深信不疑	将信将疑||疑心生鬼
并行不悖	势不两立
四分五裂	精诚团结||一统天下||百川归海||万众一心
正常	异常
口诛笔伐	歌功颂德||树碑立传
振作	委靡
偷天换日	正大光明
穷山恶水	湖光山色||名山大川||山明水秀||山清水秀||山青水秀||鱼米之乡
结伴	单独||独自
宣战	媾和
细则	总纲
衣衫褴褛	风流倜傥||峨冠博带
力不胜任	得心应手
货次价高	货真价实
心腹之患	癣疥之疾
秦晋之好	反目成仇
心安理得	方寸已乱||七上八下||如坐针毡||忐忑不安||问心有愧||心中有愧||寝食不安||食不甘味||心烦意乱||惴惴不安
残缺不全	完好无损||完好无缺
大刀阔斧	束手无策||细针密缕||谨小慎微
老弱残兵	精兵猛将||兵强马壮
外交	内政||内务
记性	忘性
凯旋而归	全军覆没||落花流水
内行	外行
大题小作	借题发挥||变本加厉||小题大作
频频入礼	狂妄自大
瘠	腴
笼络人心	众叛亲离
参与	旁观
费	省
形影不离	天各一方||水火不容
中靶	脱靶
鸟瞰	仰望
犹豫不决	兵贵神速||死心塌地||一不做，二不休||斩钉截铁||当机立断
呕心沥血	粗制滥造
穷兵黩武	和平共处||解甲归田
鞭长莫及	不在话下
暴君	圣主
出奇制胜	按兵不动
刚强	软弱
结党营私	铁面无私
心急火燎	从容不迫
枵腹从公	穷奢极侈
史无前例	接连不断
双	单
卑贱	高贵
扬长避短	因陋就简||以短击长
流芳百世	谬种流传||声名狼藉||声色犬马||声色狗马||遗臭万年
片言之语	鸿篇巨制
爱憎分明	暧昧不明
当断不断	当机立断
轻佻	沉稳||庄重
洒	捡
罪上加罪	立功赎罪
宠辱不惊	宠辱若惊||患得患失
敬辞	谦辞
灵便	笨拙
欢	悲
字正腔圆	南腔北调
化合	分解
进退自如	进退维谷||进退两难
清闲	繁忙
拙嘴笨舌	能说会道
输	赢
无所不为	循规蹈矩||安分守己
鱼贯而入	破门而入
怒容	喜色
蒸发	凝结
顷刻之间	穷年累月
朱	墨
才气过人	才疏学浅
仔细	马虎||粗心
鄙陋	渊博
不辞劳苦	拈轻怕重
事与愿违	得心应手||如愿以偿||称心如意
一笔抹煞	生吞活剥
交头接耳	大声喧哗
东风化雨	暴风骤雨
国货	洋货
锦囊妙计	一筹莫展
鸦雀无闻	沸沸扬扬
懒散	紧张
额手称庆	垂头丧气
一毛不拔	挥金如土||慷慨解囊||一掷千金||解囊相助||倾囊相助||仗义疏财
施加	承受
触目惊心	司空见惯||赏心悦目||习以为常
成全	刁难
荒无人烟	稠人广座||人烟稠密
多头	空头
釜底游鱼	如鱼得水
朱门大户	蓬门荜户
口血未干	歃血为盟
颓废	振奋
五内如焚	心花怒放||欣喜若狂
自行灭亡	困兽犹斗
老骥伏枥	老气横秋
抛售	抢购
舍己为人	杀人越货||挑肥拣瘦||假公济私||损人利己
行有余力	心有余而力不足
怜新弃旧	惜玉怜香
浓墨重彩	轻描淡写
弱肉强食	和平共处
以古非今	古为今用
以己度人	推己及人
平心静气	大发雷霆||气急败坏||丧心病狂||意气用事
缓兵之计	兵贵神速||速战速决
沦落风尘	安家立业
疏浚	淤塞
启运	停运
整齐划一	参差不齐
文言	白话
自花传粉	异花传粉
乐不可支	肝肠寸断||叫苦连天||痛不欲生||乐极生悲
援助	求援
耸人听闻	本来面目||不偏不倚
万念俱灰	豪情壮志||雄心壮志||雄心勃勃||意气风发
稳如泰山	风雨飘摇||岌岌可危||危如累卵||一发千钧||担惊受怕||慌手慌脚||惊慌失措
循规蹈矩	痴人说梦||放荡不羁||胡作非为||肆无忌惮||偷香窃玉||为非作歹||无法无天||不成体统||放浪形骸||任其自然||随心所欲||无所不为
一鳞半爪	完美无缺||十全十美||一览无余
藏垢纳污	涤瑕荡垢
置身其中	置身事外
心广体胖	骨瘦如柴
度日如年	白驹过隙||寒来暑往||似水流年||光阴似箭||一刻千金
训斥	夸奖
憎称	爱称
蒙昧无知	学富五车
感恩戴德	不识抬举||痛心疾首||忘恩负义||恩将仇报||兔死狗烹||卸磨杀驴
开心	难受
从天而降	意料之中
步调一致	各行其是
开场	收场
呼之欲出	平淡无奇
加官进爵	时乖命蹇
曲突徙薪	临渴掘井
赏罚不明	赏罚分明
藏匿	暴露||显露||公开
受益	受害
只红不专	又红又专
记忆犹新	时过境迁
军官	士兵||战士
男盗女娼	男耕女织
名落孙山	金榜题名||首屈一指||名列前茅
解甲归田	穷兵黩武
前怕狼，后怕虎	胆大妄为
胸有成竹	茫无头绪||心中无数
口蜜腹剑	苦口婆心||心直口快
微贱	高贵
不足挂齿	有口皆碑||举足轻重
心烦意乱	心安理得||从容不迫
不足为奇	难能可贵||数一数二||大惊小怪
一如既往	朝令夕改||判若两人||取而代之||世态炎凉||另起炉灶||时过境迁
惜老怜贫	嫌贫爱富||欺贫爱富
庸俗	高尚
忍无可忍	忍气吞声||忍辱负重
拾取	抛弃||丢弃
不学无术	博大精深||博闻强记||博学多才||手不释卷||博古通今||博闻强识||多才多艺||真才实学
厚实	单薄
住口	开口
短缺	充足||丰盛
有余	不足
滴水穿石	半途而废||浅尝辄止
暖衣饱食	饥寒交迫
成千上万	寥寥无几||寥寥可数
心惊肉跳	神色不惊||镇定自若
酣畅淋漓	扦格不通
反躬自问	血口喷人||嫁祸于人||怨天尤人
半夜三更	红日三竿||大天白日||青天白日
娇生惯养	千辛万苦||百炼成钢
日	月
骚动	安定
勇往直前	不进则退||淡然处之||故步自封||望风而逃||趑趄不前||按部就班||打退堂鼓||望而却步
墙上芦苇	根深叶茂
放松警惕	常备不懈
分离	结合
高大	矮小||瘦小
旧雨重逢	冤家路窄||失之交臂
大手大脚	省吃俭用||细水长流||缩手缩脚
蹲点	跑面
以邻为壑	引咎自责
美观	丑陋
奇货可居	宝货难售
信以为真	将信将疑||疑神疑鬼
自怨自艾	自鸣得意
软绵绵	硬梆梆
盖世无双	司空见惯||屡见不鲜
微不足道	变本加厉||庞然大物||硕大无朋||洋洋大观
入世不深	老谋深算
金石为开	无动于衷
促退	促进
网开一面	小肚鸡肠
规行矩步	别开生面||不衫不履||放浪形骸||为所欲为||放荡不羁||肆无忌惮
见义勇为	隔岸观火||趁火打劫||唯利是图
进攻	撤退||防御||还击||抗击
大器晚成	不堪造就||冥顽不灵||初露锋芒
好好先生	凶神恶煞
特出	普通
慢性	急性
炙手可热	平易近人
犯而不校	针锋相对
起	止||伏
恶意	好心||善意
造谣生事	歌功颂德
优待	虐待
粗放	集约
起程	到达||抵达
过眼烟云	刻骨铭心
拯救	迫害
曲高和寡	下里巴人
我行我素	言听计从
眼高手低	量力而行
通宵达旦	一朝一夕
宽宏大量	斤斤计较||讨价还价
师出无名	名正言顺||师出有名
出类拔萃	滥竽充数||碌碌无能
稳如磐石	东摇西摆
毛糙	细致
兵	民||将
攻	守
缩手缩脚	不拘小节||大手大脚||随心所欲||放开手脚
封妻荫子	祸灭九族
生长	消亡
祖籍	客籍
布被瓦器	锦衣玉食
居高临下	礼贤下士
鸦雀无声	沸反盈天||人声鼎沸||七嘴八舌
相安无事	动荡不安||兴风作浪||浴血奋战||不堪设想
老搭档	新伙伴
义正言辞	奇谈怪论
心有余而力不足	行有余力
郁郁葱葱	赤地千里||寸草不生
翻然悔悟	死不改悔||执迷不悟
必恭必敬	盛气凌人
头伏	三伏
谨小慎微	不拘小节||大刀阔斧||丢三落四||随心所欲||无所畏惧||敢想敢干||玩世不恭
丰衣足食	嗷嗷待哺||饥寒交迫||艰难竭蹶||缺吃少穿||一穷二白||家徒四壁
心照不宣	百思不解
满招损，谦受益	刚愎自用
群岛	孤岛
管见	高见
劳动致富	不义之财
零	整
上级	下级
月黑风高	良辰美景
坚韧不拔	摇摆不定
金兰之契	酒肉朋友
锐敏	迟钝
方兴未艾	穷途末路||日暮途穷||再衰三竭
倾吐	倾听
助人为乐	乘人之危||助桀为虐||嫁祸于人
由衷之言	言不由衷
讳莫如深	无庸讳言
一人传虚，万人传实	百炼成钢
责怪	赞许||表扬
有条有理	杂乱无章||乱七八糟
潮湿	干燥
熙来攘往	万籁俱寂
白眼	青眼
风烛残年	风华正茂||徐娘半老
转福为祸	转祸为福
细微	显著||明显
锣鼓喧天	哑然失声||万籁俱寂
专政	民主
缩短	延长
不动声色	惊恐万状||声色俱厉||虚张声势||若有所失
节衣缩食	挥霍无度||铺张浪费
尽力而为	聊以塞责||敷衍了事
事不宜迟	来日方长
此伏彼起	风平浪静
逃之夭夭	岿然不动||天罗地网
外方内圆	外圆内方
疑团莫释	了如指掌
焊接	切割||割切||熔断
声嘶力竭	默默无言
欣欣向荣	每况愈下||心劳日拙
千变万化	一成不变||千篇一律||依然如故
晴天霹雳	司空见惯
名不副实	名实相副
左顾右盼	目不斜视||全神贯注
偷鸡摸狗	光明正大
子孙后代	列祖列宗
洪福齐天	祸不单行||灭顶之灾||劫后余生
东道	宾客
红润	苍白
失败	胜利||成功||得胜||取胜
笨拙	灵巧||灵便||敏捷
奋发图强	及时行乐||自暴自弃
驯服	反抗
凋蔽	繁荣
问心有愧	扪心无愧||心安理得||问心无愧
形而上学	辩证法
奸淫掳掠	扶老携幼||尊老爱幼
瓜分	独占||独吞
一厢情愿	两相情愿
百年不遇	屡见不鲜||司空见惯
货真价实	滥竽充数||货次价高
坚苦卓绝	轻逸无论
徒劳无益	行之有效||劳苦功高
鬼鬼祟祟	光明正大||明目张胆||光明磊落||正大光明
预付	赊欠||赊帐
宽贷	严惩
赖帐	认帐
搔头弄姿	落落大方||神态自若
喜从天降	祸从口出||天灾人祸||大祸临头||祸从天降
一日三秋	一刻千金
除暴安良	趁火打劫||仗势欺人||助纣为虐||以强凌弱||助桀为虐
汹涌澎湃	风平浪静
怨天尤人	反躬自问
颠三倒四	顺理成章||井然有序||有条不紊
和解	争执||争斗
一年半载	千秋万代||万古千秋
率由旧章	除旧布新||推陈出新
葱茏	枯萎
申雪	含冤
显露	藏匿
目光炯炯	黯然失色
平装	精装
勤俭	奢侈
蚕食	鲸吞
化缘	布施
减产	超产||增产
避	扬
含	露
恨	爱
生机勃勃	老气横秋||死气沉沉
顺当	别扭
可乘之机	无隙可乘
太阳	太阴
略	详
是非曲直	混为一谈
原形毕露	乔装打扮||匿影藏形
等闲视之	小题大作
面如土色	奔走相告||面不改色
污染	净化
名不虚传	徒有虚名||招摇撞骗
形单影只	前呼后拥||门庭若市||三五成群
大动干戈	偃旗息鼓||鸣金收兵
漂浮	沉没||沉浸
朝令夕改	一成不变||一如既往
楚才晋用	楚弓楚得
休战	开战
博采众长	刚愎自用||自以为是||一意孤行
幕后	前台
刻舟求剑	见机行事||审时度势||通权达变
详尽	粗略||简括
养虎遗患	除恶务尽||斩草除根||斩尽杀绝
添枝加叶	恰如其分||实事求是
陈陈相固	兴利除弊
因	果
忠	奸
肥头大耳	尖嘴猴腮||骨瘦如柴
放虎归山	除恶务尽||欲擒故纵||斩尽杀绝
锲而不舍	三天打鱼，两天晒网||知难而退||半途而废||浅尝辄止||一暴十寒||半途而废
凉爽	闷热||炎热||温暖
麻痹	警惕
会面	分手
破门而入	破门而出||鱼贯而入
心慌意乱	心旷神怡
愚公移山	虎头蛇尾
翻云覆雨	始终如一
富丽堂皇	家贫如洗||因陋就简
来龙去脉	有头无尾
杀鸡取卵	高瞻远瞩
慑服	悦服
半信半疑	千真万确
寻花问柳	正人君子
易如反掌	来之不易||难于登天
当之有愧	当之无愧
地心	地表
旁征博引	理屈词穷
能说会道	笨口拙舌||拙嘴笨舌
首鼠两端	干脆利落
生涩	流畅
总纲	细则
高视阔步	鹅行鸭步
旧调重弹	改弦易张
多如牛毛	不可多得||绝无仅有
缄口不言	谈天说地
津津乐道	绝口不道||沉默寡言||兴味索然
腹背受敌	各个击破
隐约	清楚
欣然	怅然
人言啧啧	赞叹不已
本	梢||标||末
张口结舌	慷慨陈词||滔滔不绝
功败垂成	水到渠成||大功告成
连用	单用
满登登	空荡荡
俗	雅
白圭之玷	十全十美
拂晓	薄暮
唯利是图	大公无私||见义勇为||急公好义
建设	破坏
撤退	进攻
鉴往知来	鼠目寸光
午夜	正午
归罪	归功
乐善好施	打家劫舍||群魔乱舞||伤天害理||无恶不作||豺狼成性||敲骨吸髓||下井投石
三从四德	倒行逆施||大逆不道
目瞪口呆	从容不迫||谈笑自若||气定神闲
弃暗投明	死不改悔||弃明投暗
逆子	孝子
正颜厉色	和蔼可亲
归降	背叛
谈虎色变	谈笑自若||面不改色
不得人心	深得人心||口碑载道
衰退	旺盛
自告奋勇	畏首畏尾||畏葸不前
兵贵神速	缓兵之计||犹豫不决||优柔寡断
不白之冤	真相大白
转义	本义
兴致勃勃	大煞风景||兴味索然
禁锢	释放
继续	中断
逍遥法外	法网难逃||天网恢恢，疏而不漏||绳之以法
嫡	庶
腐臭	芬芳
苦	甜||甘
东拉西扯	丝丝入扣||有条不紊
残月	新月
怒目而视	眉开眼笑||和颜悦色
合法	非法
后患无穷	斩草除根||后福无量
天怒人怨	歌功颂德
无名鼠辈	德高望重||大名鼎鼎
不拘小节	缩手缩脚||谨小慎微
好吃懒做	吃苦耐劳||事必躬亲
低级	高级
复习	预习
克己奉公	公报私仇||利欲熏心
方丈	沙弥
结余	亏空
芸芸众生	超凡入圣||超尘拔俗
味同嚼蜡	妙趣横生||其味无穷||洋洋洒洒
矫枉过正	恰到好处
如履平地	仰之弥高||如履薄冰
收敛	放纵
香花	毒草
残年	盛年
歌舞升平	大敌当前
冰冻三尺，非一日之寒	浅尝辄止
下笔成章	江郎才尽
人多势众	势单力薄||单枪匹马
形	神
固定	流动||浮动||活动
低贱	高贵
喜之不尽	苦不堪言
同流合污	洁身自好||明哲保身||疾恶如仇
满腹疑团	毫无疑义
维妙维肖	画虎类犬
荒年	丰年
复刊	停刊
四面楚歌	安然无恙||旗开得胜
无机	有机
否认	承认
细嚼慢咽	狼吞虎咽
尽如人意	大失所望||左支右绌
海外	海内||国内
薄利	暴利
轻	重
心怀叵测	胸襟坦荡||正大光明||赤胆忠心||襟怀坦白
旁敲侧击	单刀直入||开门见山||直截了当||耳提面命||开宗明义||直言不讳
逆水行舟	一帆风顺||知难而退
独具只眼	一无所长
贬值	升值
彻夜苦读	秉烛夜游
遮	露
放浪形骸	循规蹈矩||规行矩步
暖	冷||凉||寒
伸	缩
一丝不苟	粗枝大叶||浮光掠影||偷工减料||草草了事||丢三落四||马马虎虎
若无其事	六神无主||杞人忧天||丧魂落魄||张皇失措||若有所失||神魂颠倒||做贼心虚
述而不作	别开生面
招摇撞骗	实事求是||名不虚传
非法	合法
对	错||差
伏	起
力挽狂澜	力不能支
上膘	掉膘
眼明手快	呆头呆脑
精力充沛	精疲力竭||筋疲力尽
原料	成品
聪明睿智	冥顽不灵
乱七八糟	有板有眼||有条有理||整整齐齐
乏味	有趣
形形色色	如出一辙
失势	得势
义无反顾	畏首畏尾||瞻前顾后
称王称霸	谦谦君子
歹	好
遥遥无期	当务之急||稍纵即逝||指日可待||为期不远
洼陷	突起
不慌不忙	如饥似渴||—手忙脚||手忙脚乱
不计其数	聊胜于无||屈指可数
贴切	牵强
速	缓
果决	迟疑
自力更生	寄人篱下||仰人鼻息||坐享其成
鸿运高照	在劫难逃
跃进	爬行
左支右绌	左右逢源||尽如人意
寒色	暖色
口碑载道	不得人心||人言可畏||啧有烦言||民怨鼎沸||怨声载道
俗气	雅致||素雅
同甘共苦	同床异梦
窄小	宽大
完璧归赵	支离破碎
恋恋不舍	扬长而去||乐不思蜀
穷极无聊	精神饱满
水乳交融	格格不入||水火不相容||方枘圆凿||若即若离
一语中的	不痛不痒
寻死觅活	欢天喜地
死不改悔	翻然悔悟||改过自新||弃暗投明||脱胎换骨||放下屠刀，立地成佛
温文尔雅	咄咄逼人||喜怒无常||移山倒海||令行禁止
下水	上水
沉着	惊慌||仓皇||浮躁||慌张
清音	浊音
片言只语	连篇累牍||长篇大论
飞短流长	仗义直言
威武不屈	奴颜媚骨||奴颜婢膝
千差万别	半斤八两||一念之差
黑色金属	有色金属
洗耳恭听	充耳不闻
给予	接受||索取
应付自如	束手待毙||身不由己
有加无已	每况愈下
密集	稀疏||稀疏||疏落||稀少
低劣	优良||高明
活动	固定
穷途末路	方兴未艾||柳暗花明||四通八达||锦绣前程
光明磊落	鬼鬼祟祟||上下其手||邪门歪道||居心叵测||偷梁换柱||蝇营狗苟
望族	寒门
停运	启运
心慈面善	灭绝人性
笨口拙舌	灵牙利齿||巧舌如簧||能说会道
出人意表	不出所料
得	失
自强自力	城下之盟
内海	公海
求胜	求和
祸从天降	喜从天降
领袖	群众
七情六欲	四大皆空
摩拳擦掌	按兵不动
直线	折线
叹为观止	海底捞针
积水成渊	杯水车薪
无往不利	进退两难||骑虎难下
洞若观火	不得而知||管中窥豹||莫明其妙||管窥蠡测||莫名其妙||千头万绪
穷奢极侈	艰苦朴素||枵腹从公
无能为力	得心应手||胜任愉快||余勇可贾||大显神通||力所能及
直接	间接||辗转
生财之道	投机倒把
后	前||先
脑满肠肥	骨瘦如柴||形销骨立||鸠形鹄面
贺词	悼词
引以为荣	羞与为伍
上场	退场||下场
山珍海错	粗茶淡饭
不念旧恶	不仁不义
兔死狐悲	幸灾乐祸
不惑之年	豆蔻年华
厌烦	喜欢
珠围翠绕	荆钗布裙
义不容辞	推三阻四
直截了当	含沙射影||拖泥带水||拐弯抹角||旁敲侧击
贵族	平民
美中不足	十全十美
新鲜	腐败||陈旧
任	免
喜出望外	不堪回首||痛哭流涕
下马	上马
浴血奋战	和平共处||相安无事
开门见山	烘云托月||闪烁其辞||隐晦曲折||旁敲侧击||吞吞吐吐||转弯抹角
赊帐	预付
就	离
饱食终日	焚膏继晷||夙兴夜寐
弱不胜衣	钢筋铁骨||年富力强
怀柔	镇压
张扬	隐瞒
凑拢	分散
深透	肤浅
急不可待	来日方长||慢条斯理
偶一为之	韦编三绝||勤学苦练
金玉满堂	家徒四壁
难受	开心
姑息养奸	严惩不贷||斩草除根
不关痛痒	切肤之痛||血肉相连||唇齿相依||息息相关
坎坷不平	康庄大道
审时度势	刻舟求剑
豺狼当道	舜日尧天
以一当十	卵与石斗||一夫之用
崭露头角	默默无闻
北	南
公布于众	难言之隐
僵硬	柔软
自成一家	身无长技
冒名顶替	名副其实
毫无瓜葛	遥遥相对
养军千日，用在一时	养痈贻患
消声匿迹	粉墨登场
舍己为公	损公肥私
流言蜚语	金玉良言
吊丧	贺喜
温柔敦厚	尖酸刻薄||出言不逊
推销	收购
鹤发童颜	老态龙钟
图穷匕见	显而易见
不可多得	比比皆是||多如牛毛
日前月腹	家给人足
前所未闻	史不绝书||司空见惯
暗示	明说
宁死不屈	苟且偷生||苟延残喘||屈膝投降||苟全性命||屈打成招
浅	深
百端待举	百废待兴
下1	上
改朝换代	铁打江山
乘人之危	济困扶危||助人为乐||雪中送炭
芳香	恶臭
出征	班师
冰天雪地	冰雪消融||春色满园||汗流浃背||大地回春
空前绝后	承前启后||比比皆是
一诺千金	背信弃义||轻诺寡信||空头支票
排外	媚外
明目张胆	暗渡陈仓||鬼鬼祟祟||偷偷摸摸||暗送秋波
无可奈何	诚心诚意
闻风丧胆	泰然自若
各奔前程	万众一心||众星捧月||相依为命
避实击虚	避重就轻
拘押	释放
不即不离	寸步不离
敷设	拆除
见利忘义	富贵不能淫||见贤思齐||见利思义||舍生取义
面向世界	闭关锁国
签发	签收
得到	失掉
依然如故	变幻莫测||改头换面||面目全非||千变万化||万象更新||面目一新||一了百了
功勋	罪恶
尽心竭力	敷衍塞责
蛛丝马迹	千丝万缕||无影无踪
视死如归	苟延残喘||贪生怕死
更换	照旧
反求诸己	苛求于人
情深似海	恨入骨髓
如胶似漆	反目成仇
急公好义	唯利是图
懒	勤
人	神||鬼||兽
敬重	轻慢
开化	愚昧||冻冰
百感交集	铁石心肠||无动于衷
狼烟四起	国泰民安||太平盛世||平安无事
收	发||播||放||缴||撒||送
瓮中之鳖	漏网之鱼
小户	大户
淡月	旺月
肝胆相照	勾心斗角||假人假义||明争暗斗||钩心斗角
灭绝人性	心慈面善
心怀鬼胎	正大光明
学富五车	蒙昧无知||不辨菽麦||目不识丁
招摇过市	匿影藏形
屈膝投降	宁死不屈
一窍不通	触类旁通||全知全能||无所不知||洞察一切||无所不通
名副其实	画饼充饥||冒名顶替||名存实亡||色厉内荏||叶公好龙||滥竽充数||有名无实||名不副实
心猿意马	乐此不疲||一心一意||目不窥园
安营	拔营
蠢如鹿豕	聪明伶俐
往	来
甘	苦
因时制宜	不合时宜
不破不立	老调重弹||倒行逆施
康健	虚弱
滔滔不绝	避而不谈||哑口无言||张口结舌
一无所长	独具只眼||拿手好戏||一技之长||三头六臂
败而不馁	楚囚对泣
火上浇油	釜底抽薪
团体	个人
荒歉	丰收
名列前茅	名落孙山
避实就虚	以卵击石
杯水车薪	积水成渊
过	功
宾至如归	漠不关心||冷若冰霜
蛟龙失水	蛟龙得水
不劳而获	徒劳无功||自食其力
亏	盈||余
瞬息之间	年深日久
不见薪新	明察暗访
革新	守旧||复古
洋货	国货
指天画地	欲言又止||吞吞吐吐
尊老爱幼	奸淫掳掠
凝华	升华
硬	软
脆弱	坚强
募化	施舍
保卫	侵犯
滑腻	粗糙
弄假成真	画蛇添足||弄巧成拙
攒	花
间或	时常
七步之才	呆头呆脑
丢三落四	一丝不苟||谨小慎微
喜形于色	闷闷不乐||如丧考妣||忧心忡忡||心如铁石
抓	放
视如敝屣	垂涎三尺||奉为圭臬||奉若神明||奉为楷模
一针见血	隔靴搔痒||不痛不痒||莫衷一是
俯首帖耳	桀骜不驯
举贤任能	任人唯亲
信赏必罚	既往不咎
中心	边缘||周围
风凉	闷热
素净	鲜艳
不由分说	强词夺理||无理取闹
谦和	傲慢
推诚相见	明争暗斗||钩心斗角
豺狼成性	乐善好施
大灾三年	风调雨顺
高亢	低沉||低微
暂停	久留
征聘	应聘
一无长物	腰缠万贯
割席分座	海内存知己，天涯若比
棋逢对手	略胜一筹||棋高一着
蜷缩	伸展||伸直
缴	收
真伪莫辨	昭然若揭||真相大白
一败涂地	大获全胜||百战不殆
调兵遣将	按兵不动||鸣金收兵||班师回朝
正中下怀	大失所望
神态自若	搔头弄姿
悠闲自得	疲于奔命
前赴后继	临阵脱逃||畏缩不前
铁证如山	空口无凭||无中生有
资方	劳方
三缄其口	口若悬河||信口开河||夸夸其谈
意气风发	万念俱灰
数一数二	平淡无奇||不足为奇
斗鸡走狗	日理万机||埋头苦干
望风披靡	所向无敌||所向披靡
仗义执言	违天悖理
仓皇	沉着
杀人不见血	与人为善
不可名状	一语破的
远在天边	近在眼前||近在眉睫||迫在眉睫
轻重倒置	提纲挈领
赞不绝口	令人作呕
别致	普通
寥寥可数	成千上万
独出心裁	如法炮制
另眼相看	置之不理
了如指掌	不得而知||一团漆黑||疑团莫释||似懂非懂
简装	精装
惜玉怜香	喜新厌旧||怜新弃旧
后卫	前卫||先锋
正旦	除夕
傲慢	谦逊||谦和
注重	轻视
旱季	雨季
先手	后手
退休	在职
难兄难弟	恩断义绝
一触即溃	壁垒森严||坚不可摧||举世无敌||旗开得胜||戒备森严||战无不胜
除夕	元旦||正旦
爱屋及乌	爱莫能助
与虎谋皮	行之有效
上面	下面
违法乱纪	奉公守法
春风和煦	春寒料峭
推斥力	吸引力
设身处地	随心所欲
笑里藏刀	心口不一
口是心非	赤胆忠心||馨香祷祝||心口如一
自杀	他杀
临阵磨刀	磨砺以须
亲近	疏远||嫌弃
如堕烟海	豁然开朗
焦头烂额	万事亨通
全军覆没	得胜回朝||凯旋而归
安不忘危	麻痹大意
乞	赐
心有余悸	神色不惊||泰然自若
乱点鸳鸯	天作之合||成人之美
粗枝大叶	精雕细刻||细针密缕||一丝不苟
年老体衰	宝刀不老
兼收并蓄	以蠡测海
举手投足	九牛二虎之力
一马平川	崇山峻岭||千山万壑||千岩万壑||龙盘虎踞||万壑千岩
饥不择食	挑肥拣瘦
浅近	深奥
不苟言笑	手舞足蹈||油腔滑调||谈笑风生
饮水思源	得鱼忘筌||过河拆桥||数典忘祖
锄强扶弱	仗势欺人
怙恶不悛	回头是岸
一丘之貉	良师益友||意气相投||黑白分明||是非分明
天长日久	稍纵即逝
和睦相处	相煎何急
箭不虚发	无的放矢||百无一存
历历在目	昏天黑地
不甘示弱	甘拜下风
唯命是从	大逆不道||桀骜不驯
超产	减产
光宗耀祖	奇耻大辱||丧权辱国
闪烁其辞	锋芒逼人||心直口快||开门见山
上限	下限
顺水推舟	横生枝节
望而生畏	楚楚可怜||无所畏惧
话不投机	言归于好||一拍即合
平淡无味	脍炙人口
言不由衷	由衷之言
不可捉摸	一目了然
欢歌笑语	长吁短叹
众目睽睽	掩人耳目||旁若无人
徐娘半老	人老珠黄||风烛残年
红口白牙	隐恶扬善
有的放矢	对牛弹琴
故地重游	新来乍到
以身殉职	玩忽职守
